,energie,eau,proteines,glucides,lipides
3010,19.4,93.7,1.06,0.78,0.6
3011,152.0,67.9,6.92,4.33,11.2
3012,22.6,92.9,0.04,0.62,0.1
3013,142.0,67.8,6.6,2.2,9.9
3018,125.0,70.3,0.69,25.8,0.6
3019,36.0,91.5,1.25,5.0,0.35
3023,332.0,45.7,2.19,0.1,33.3
3025,162.0,74.6,1.39,0.043,16.5
3027,240.0,2.6,10.2,19.7,13.3
3028,343.0,4.2,8.5,59.5,7.4
3031,233.0,9.37,11.3,20.8,11.5
3032,248.0,4.7,44.5,17.0,0.2
3035,38.5,87.4,2.12,3.2,0.73
3036,213.0,4.53,10.3,17.7,11.1
3037,212.0,2.4,11.6,28.9,5.4
3038,197.0,2.5,10.8,30.9,3.1
3039,0.0,0.027,0.0,0.0,0.0
3041,0.0,0.027,0.0,0.0,0.0
3042,0.0,3.75,0.0,0.0,0.0
3043,0.0,5.09,0.0,0.0,0.0
3044,0.0,0.027,0.0,0.0,0.0
3045,301.0,8.8,14.5,2.63,14.0
3046,335.0,9.94,8.98,58.3,4.24
3047,330.0,9.0,13.3,39.5,7.5
3048,310.0,11.4,11.4,48.3,2.11
3049,243.0,10.6,3.87,27.5,1.22
3050,346.0,8.88,12.4,13.0,17.8
3051,352.0,11.9,11.4,61.5,5.85
3052,427.0,8.06,17.8,33.7,22.3
3053,504.0,6.22,5.3,28.5,36.3
3054,319.0,11.2,14.1,19.1,12.9
3055,335.0,9.87,5.97,31.6,13.0
3056,353.0,5.44,7.61,48.6,8.36
3057,348.0,8.46,6.09,50.5,8.69
3059,551.0,5.17,19.7,13.7,43.1
3060,334.0,9.87,19.8,11.9,14.6
3061,240.0,64.5,0.05,2.41,0.0
3062,326.0,8.81,15.7,12.5,14.9
3063,32.9,90.9,1.1,3.4,1.1
3064,321.0,8.28,10.8,40.5,6.7
3065,350.0,7.72,27.1,33.8,6.41
3066,345.0,8.86,12.3,37.7,10.4
3067,376.0,8.05,12.0,29.4,17.3
3068,291.0,12.9,9.68,44.4,3.25
3069,57.7,85.6,0.03,14.4,0.0
3070,111.0,67.8,5.31,18.6,0.5
3071,39.9,87.4,3.72,3.63,0.6
3072,29.7,90.6,2.57,2.1,0.52
3073,43.0,85.5,3.71,3.48,0.63
3075,57.6,82.1,3.52,5.3,0.84
3076,34.8,91.7,3.35,2.55,0.47
3077,121.0,67.8,3.31,6.6,5.86
3078,36.7,85.6,4.0,0.97,0.5
3079,107.0,65.1,5.56,10.5,1.68
3080,49.4,84.2,3.58,4.15,0.8
3082,48.2,86.0,3.93,3.9,1.1
3083,22.3,92.2,2.13,0.87,0.52
3084,127.0,65.4,5.56,23.8,0.5
3085,130.0,63.5,6.0,22.0,0.4
3086,344.0,6.48,16.7,62.8,0.77
3087,291.0,3.95,29.0,16.8,5.34
3088,283.0,11.3,19.9,22.2,6.03
3089,244.0,10.4,23.0,10.1,4.07
3090,276.0,7.64,12.7,20.3,7.04
3091,265.0,9.93,9.0,26.4,4.28
3092,328.0,9.31,4.88,21.5,15.2
3093,320.0,7.96,10.6,20.4,12.8
3094,285.0,7.79,9.11,26.9,7.43
3095,283.0,7.1,11.5,23.0,7.2
3096,264.0,9.0,6.73,23.0,5.91
3097,239.0,8.4,23.0,12.7,1.8
3101,184.0,8.54,14.1,5.7,2.51
3102,206.0,10.9,15.9,13.8,2.03
3103,204.0,8.63,10.3,23.6,1.07
3104,255.0,6.54,31.5,10.5,1.63
3105,227.0,6.72,17.2,22.6,1.33
3106,224.0,9.5,8.38,24.2,2.65
3107,217.0,5.31,9.51,25.6,1.13
3108,239.0,8.09,10.1,28.3,2.63
3109,243.0,8.4,16.5,18.8,3.54
3110,194.0,11.6,7.41,15.7,1.33
3111,224.0,7.65,13.7,18.8,2.47
3112,234.0,10.7,16.6,21.5,2.3
3113,211.0,10.8,7.22,18.5,2.78
3114,187.0,10.3,12.3,6.28,1.53
3116,97.3,79.6,6.43,11.1,2.75
3117,91.1,79.7,6.79,10.4,2.45
3118,82.5,80.6,6.09,10.1,1.73
3119,87.5,80.0,6.19,10.2,2.28
3121,279.0,9.05,15.4,23.6,4.35
3122,359.0,7.53,15.8,51.0,6.48
3123,226.0,4.71,8.36,6.65,0.92
3124,398.0,6.12,13.9,28.1,20.9
3125,344.0,7.8,15.7,46.0,6.09
3126,368.0,7.5,27.2,35.1,9.5
3127,348.0,11.7,86.9,0.0,0.1
3128,334.0,5.0,40.4,21.8,4.5
3133,0.4,0.2,0.1,0.0,0.0
3134,52.5,89.4,4.57,1.53,2.9
3139,60.7,84.2,0.5,14.6,0.3
3140,278.0,7.2,0.0,62.0,0.0
3142,358.0,7.58,21.9,52.5,4.2
3146,779.0,1.0,0.0,8.0,83.0
3147,497.0,1.17,10.9,55.0,25.3
3151,82.3,82.2,2.14,11.6,2.83
3152,67.8,85.8,1.75,7.7,3.0
3153,83.8,81.2,1.98,12.1,2.7
3154,84.4,81.3,2.36,11.6,2.8
3155,86.5,81.0,2.23,12.6,2.78
3156,75.7,83.1,1.85,10.4,2.6
3158,85.6,81.6,1.9,12.7,2.89
3159,86.5,81.0,2.22,12.6,2.78
3160,61.0,87.7,1.28,7.77,2.71
3161,71.9,86.3,1.21,8.04,3.79
3162,65.2,86.7,1.21,8.23,2.9
3164,26.3,92.2,0.9,3.8,0.5
3165,41.7,89.8,1.3,6.45,0.8
3166,42.9,88.6,1.2,6.9,0.7
3167,70.2,83.9,2.38,9.12,2.3
3168,77.5,83.6,2.1,8.1,3.5
3169,71.6,83.1,2.88,8.53,2.3
3170,38.5,90.4,1.0,5.88,0.91
3171,59.5,87.2,1.5,7.19,2.5
3172,70.3,84.0,2.56,8.59,2.4
3173,59.0,86.3,3.6,5.9,1.6
3174,54.9,86.1,2.8,6.77,1.31
3175,75.7,85.5,2.5,8.95,2.9
3179,90.3,79.7,3.32,11.3,3.1
3180,94.1,79.1,3.45,11.7,3.3
3181,100.0,77.7,3.19,12.5,3.5
3182,393.0,2.2,5.1,88.3,1.7
3183,391.0,1.8,10.0,81.1,2.0
3184,439.0,3.0,7.5,73.3,12.3
3185,396.0,1.2,8.5,85.0,1.9
